12/04/2025,11:03:14,b'Received packet: 110,38.370263,21.777265,12/4/2025,8:3:14,1.31,249.69,13.37,9,1011.64,18.60\r\n'
12/04/2025,11:03:15,b'Received packet: 111,38.370263,21.777265,12/4/2025,8:3:14,1.31,249.69,14.75,9,1011.48,18.61\r\n'
12/04/2025,11:03:15,b'Received packet: 112,38.370264,21.777265,12/4/2025,8:3:15,0.65,249.69,12.74,8,1011.72,18.60\r\n'
12/04/2025,11:03:16,b'Received packet: 113,38.370263,21.777268,12/4/2025,8:3:16,1.09,249.69,12.97,8,1011.69,18.58\r\n'
12/04/2025,11:03:17,b'Received packet: 114,38.370263,21.777268,12/4/2025,8:3:16,1.09,249.69,12.91,8,1011.70,18.56\r\n'
12/04/2025,11:03:17,b'Received packet: 115,38.370264,21.777272,12/4/2025,8:3:17,1.74,249.69,12.72,9,1011.72,18.55\r\n'
12/04/2025,11:03:18,b'Received packet: 116,38.370264,21.777272,12/4/2025,8:3:17,1.74,249.69,12.28,9,1011.78,18.59\r\n'
12/04/2025,11:03:18,b'Received packet: 117,38.370262,21.777277,12/4/2025,8:3:18,1.20,249.69,13.44,9,1011.64,18.61\r\n'
12/04/2025,11:03:19,b'Received packet: 118,38.370262,21.777277,12/4/2025,8:3:18,1.20,249.69,11.44,9,1011.88,18.62\r\n'
12/04/2025,11:03:20,b'Received packet: 119,38.370265,21.777277,12/4/2025,8:3:19,0.93,249.69,11.59,9,1011.86,18.62\r\n'
12/04/2025,11:03:20,b'Received packet: 120,38.370264,21.777280,12/4/2025,8:3:20,0.81,249.69,11.01,9,1011.93,18.60\r\n'
12/04/2025,11:03:21,b'Received packet: 121,38.370264,21.777280,12/4/2025,8:3:20,0.81,249.69,10.94,9,1011.94,18.56\r\n'
12/04/2025,11:03:21,b'Received packet: 122,38.370255,21.777282,12/4/2025,8:3:21,2.44,249.69,11.92,9,1011.82,18.59\r\n'
12/04/2025,11:03:22,b'Received packet: 123,38.370255,21.777282,12/4/2025,8:3:21,2.44,249.69,11.28,9,1011.90,18.61\r\n'
12/04/2025,11:03:23,b'Received packet: 124,38.370261,21.777286,12/4/2025,8:3:22,2.44,249.69,11.05,9,1011.92,18.62\r\n'
12/04/2025,11:03:23,b'Received packet: 125,38.370265,21.777286,12/4/2025,8:3:23,1.50,249.69,10.90,9,1011.94,18.62\r\n'
12/04/2025,11:03:24,b'Received packet: 126,38.370265,21.777286,12/4/2025,8:3:23,1.50,249.69,11.01,9,1011.93,18.60\r\n'
